identifiant,pays_code,pays,secteur_activite_code,secteur,denomination_sociale,adresse_1,adresse_2,adresse_3,adresse_4,code_postal,ville
JOONATWQ,[FR],FRANCE,[DM],Dispositifs médicaux,Ventiléa,1 rue d'anjou,"","","",76240,Le mesnil esnard
OENXBDDD,[FR],FRANCE,[DM],Dispositifs médicaux,NOVASTEP,Espace Performance Alphasis,Bâtiment C1-C2,"","",35769,SAINT-GREGOIRE CEDEX
MJWYMRMI,[US],ÉTATS-UNIS,[MED],Médicaments humains,Ipsos Insight LLC,10567 Jefferson Blvd,"","","",90232,"Culver City, CA"
BJBFZQMX,[IL],ISRAËL,[DM],Dispositifs médicaux,SIVAN INNOVATION,19 Hartom Street,"","","",97775,Jerusalem
CGNYFLUE,[FR],FRANCE,[AUT],Autres,Iris Pharma,Allée Hector Pintus,"","","",06610,La Gaude
JVCPTDLT,[FR],FRANCE,[PA],Prestataires associés,ELIA MEDICAL,11 Avenue Léon Blum,"","","",59370,MONS EN BAROEUL
EMBNKDHE,[FR],FRANCE,[PA],Prestataires associés,ELIA SUD OUEST,56 Route de Portet,"","","",31270,VILLENEUVE TOLOSANE
MHAIGBJN,[FR],FRANCE,[PA],Prestataires associés,ELIA MEDICAL,ZAC DE LA CROIX DE FER,"","","",80440 ,BOVES
UOQTYGAM,[FR],FRANCE,[DM],Dispositifs médicaux,ARGON MEDICAL DEVICES,Espace Performance,Alphasis Bat J,"","",35760,St Gregoire
UZQLGPDZ,[FR],FRANCE,[DM],Dispositifs médicaux,DON'ORTHO,42 RUE DANIELE CASANOVA,"","","",95590,PRESLES
SDOZFFIA,[US],ÉTATS-UNIS,[DM],Dispositifs médicaux,"Ventana Medical Systems, Inc.",1910 E. Innovation Park Dr,"","","",AZ 85755,Tucson
QYVMGJXV,[FR],FRANCE,[PA],Prestataires associés,TFS TRIAL FORM SUPPORT SASU,"7c, Place du Dôme ",Immeuble Elysées La Défense,"","",92056,Paris La Défense cedex
VJDHYXZI,[FR],FRANCE,[MED],Médicaments humains,LABORATOIRE EREMPHARMA,25 rue Greffulhe,"","","",92300,LEVALLOIS PERRET
INAMLHXD,[FR],FRANCE,[DM],Dispositifs médicaux,Smith & Nephew S.A.S.,25 boulevard Marie et Alexandre Oyon,"","","",72019,LE MANS CEDEX 02
USFNTOIT,[FR],FRANCE,[DM],Dispositifs médicaux,RADIANTE,ZIN Rue d'Arsonval,"","","",86100,CHATELLERAULT
BYEUKEWI,[FR],FRANCE,[DM],Dispositifs médicaux,EVALYS SAS,TENEU,"","","",56800,GUILLAC
HHXGIXNE,[FR],FRANCE,[DM],Dispositifs médicaux,BREAS MEDICAL,Parc Technologique de Lyon,"8 allée Irène Joliot Curie, Bât B8","","",69800,SAINT-PRIEST
XGDADTZZ,[FR],FRANCE,[MED],Médicaments humains,DEBREGEAS ET ASSOCIES PHARMA,79 rue de Miromesnil,"","","",75008,Paris
PIPCOYBN,[BE],BELGIQUE,[MED],Médicaments humains,VIROPHARMA SPRL,47 RUE MONTOYER,"","","",1000,BRUXELLES
OJMSGRPF,[SE],SUÈDE,[PA],Prestataires associés,IMS Medical Radar,Prästgårdsgatan 28,"","","",431 44 ,Mölndal
UICMFOQK,[FR],FRANCE,[AUT],Autres,Arthritis Fondation Courtin,4 rue Berteaux-Dumas,"","","",92200,Neuilly sur Seine
ONCOKQXV,[SE],SUÈDE,[AUT],Autres,Qualitative & Quantitative Fieldwork Services,J A Wettergrens Gata 5 ,"","","",42130,Västra Frölunda
LWDKSVAW,[FR],FRANCE,[AUT],Autres,PFIZER INTERNATIONAL OPERATIONS,23 Avenue du Dr Lannelongue,"","","",75014,PARIS
HPXYNUPH,[FR],FRANCE,[DM],Dispositifs médicaux,OPSYSE,3187 route d'Apt,"","","",84800,Isle sur la sorgue
MNHKSUDB,[FR],FRANCE,[PA],Prestataires associés,ELIA MEDICAL OUEST,"4, rue du bas village","","","",35500,Cesson sevigne
EAWYUCKO,[FR],FRANCE,[DM],Dispositifs médicaux,NOVATECH SA,1058 Voie Antiope,ZI Athelia III,1058 Voie Antiope,1058 Voie Antiope,13705,La Ciotat
YKTCYLYX,[FR],FRANCE,[DM],Dispositifs médicaux,Applied Medical France,114 bis rue Michel-Ange,"","","",75016,Paris
EEZDRVOX,[FR],FRANCE,[PA],Prestataires associés,ELIA MEDICAL PARIS,Allée des pleus,"","","",77170,Brie Comte Robert
UBHBTECI,[FR],FRANCE,[DM],Dispositifs médicaux,SARL ASTRIAD,15 CHEMIN DU MAIRE,"","","",51370,SAINT BRICE COURCELLES
OAZPWYRL,[FR],FRANCE,[PA],Prestataires associés,UNIVERSAL MEDICA,106 bureaux de la colline,"","","",92213,Saint cloud 
OJLDTOPC,[FR],FRANCE,[DM],Dispositifs médicaux,Essilor,147 rue de Paris,"","","",94227,Charenton Cedex
EXRPLXEH,[FR],FRANCE,[DM],Dispositifs médicaux,PHYSIOL FRANCE,12 rue louis courtois de viçose,portes sud,bat 3,"",31100,toulouse
PJHTCZMW,[FR],FRANCE,[DM],Dispositifs médicaux,AMADEUS SANTE,"88, Impasse de Dion Bouton","","","",13300,Salon de Provence
NNOOSFKB,[FR],FRANCE,[AUT],Autres,SARL OXY-PERF,62 AVENUE JEAN MOULIN,LE CARRE D'HORT,"BAT A, 2 ème ETAGE","",34500,BEZIERS
CUTAKCNM,[FR],FRANCE,[DM],Dispositifs médicaux,AMPLITUDE,11 COURS JACQUES OFFENBACH,"","","",26000,VALENCE
SICXUSCE,[FR],FRANCE,[DM],Dispositifs médicaux,ALKAPHARM,PARC BIOCITECH,"102, AVENUE GASTON ROUSSEL",PARC BIOCITECH,PARC BIOCITECH,93230,ROMAINVILLE
HVFIFLWR,[CH],SUISSE,[MED],Médicaments humains,SeaGen International GmbH,Dammstrasse 19,"","","",6300,Zug
IYSKHUXO,[FR],FRANCE,[PA],Prestataires associés,LOL PHARMA,"13, rue du docteur Lancereaux","","","",75008,PARIS
DUOKQPSJ,[CH],SUISSE,[MED],Médicaments humains,Actelion Pharmaceuticals Ltd,Gewerbestrasse 16,"","","",4123,Allschwill
YCGPZYNI,[FR],FRANCE,[DM],Dispositifs médicaux,ASTON MEDICAL Anciennement SOCIETE DE GENIE MEDICAL - S.G.M.,19 RUE VICTOR GRIGNARD,ZI DE MONTREYNAUD,"","",42000,SAINT-ETIENNE
GQVSWQDE,[FR],FRANCE,[AUT],Autres,BEST OF OPTIMIZERS,64 RUE DE LONGCHAMP,"","","",75116,PARIS
FDOGSQSC,[FR],FRANCE,[MED],Médicaments humains,Laboratoires ARKOPHARMA,1ère Avenue 2709M,LID de Carros Le Broc,"","",06510,CARROS
CKEHVYWT,[FR],FRANCE,[DM],Dispositifs médicaux,Dentsply Gac Europe,1 rue des messagers,"","","",37210,Rochecorbon
BIRDXSKG,[ES],ESPAGNE,[PA],Prestataires associés,Junicon Europe SL,Collserola 54 B2,"","","",08035,Barcelona
ZRZLQLPC,[FR],FRANCE,[DM],Dispositifs médicaux,NeoMedLight SAS,88 rue Frédéric Faÿs,"","","",69100,Villeurbanne
NIYLYPHY,[GB],ROYAUME-UNI,[MED],Médicaments humains,Res Consortium Ltd,"Fosse House, East Anton Ct, Icknield Way","","","",SP105RG,Andover
WCKZFAMG,[FR],FRANCE,[DM],Dispositifs médicaux,OTR3,4 RUE FRANÇAISE ,"","","",75001,PARIS
ACFREMFV,[FR],FRANCE,[PA],Prestataires associés,Covance Clinical And Periapproval Services SARL,Immeuble Ariane,"2, rue Jacques Daguerre","","",92565,Rueil Malmaison
NQNFHMSX,[FR],FRANCE,[AUT],Autres,IMAGO RESEARCH,32 RUE FESSART,"","","",92100,BOULOGNE BILLANCOURT
BZENSWCY,[FR],FRANCE,[DM],Dispositifs médicaux,NEOSTEO,Mallève 2A,1 Boulevard Jean Moulin,"","",44100,NANTES
LMTZYINY,[IE],IRLANDE,[MED],Médicaments humains,PTC THERAPEUTICS  INTERNATIONAL LIMITED,70 Sir John Rogerson's Quay,"","","",2,DUBLIN
AMOTTJDN,[FR],FRANCE,[DM],Dispositifs médicaux,ORTHOPALE,635 CHEMIN BLANC,"","","",62170,ECUIRES
RXZHXLPU,[FR],FRANCE,[AUT],Autres,HILL-ROM S.A.S.,Zone Industrielle du Talhouët,B.P. 14,"","",56330,Pluvigner
SERMWRSS,[FR],FRANCE,[DM],Dispositifs médicaux,Smartsanté Gestion,"23, rue Taitbout","","","",75009,Paris
FOGRYICD,[GB],ROYAUME-UNI,[AUT],Autres,Simpson Carpenter,Tuition House,27 - 37 St Georges Road,"","",SW14 4EU,Wimbledon
OVGVYXUC,[FR],FRANCE,[DM],Dispositifs médicaux,MARQUAT GENIE BIOMEDICAL,9 rue du 8 mai 1945,BP 90011,"","",94470,BOISSY-SAINT-LEGER
ISZJQXPF,[FR],FRANCE,[AUT],Autres,chris eyes,48 rue de Bray,Espace la Monniais,"","",35510,Cesson-Sévigné
QGDUTHUI,[FR],FRANCE,[AUT],Autres,EDITION DE L'INTERLIGNE,1 rue Augustine Variot,"","","",92245,Malakoff Cedex
IWZGTZOV,[FR],FRANCE,[AUT],Autres,WR CONSEIL,16 RUE MICHEL LE COMTE ,"","","",75003,PARIS
RHBWOPYH,[FR],FRANCE,[DM],Dispositifs médicaux,sarl msdcp,37 bd jacquard,generale optique,"","",62100,calais
ADBDCTWS,[FR],FRANCE,[DM],Dispositifs médicaux,OPHTACOM,2871 avenue de l'Europe,porte A,2871 avenue de l'Europe,2871 avenue de l'Europe,69140,RILLIEUX LA PAPE
NJTVZVWF,[FR],FRANCE,[PA],Prestataires associés,HEALTHCAREGEN COMMUNICATION,"13, rue du docteur Lancereaux","","","",75008,PARIS
MHARATYX,[FR],FRANCE,[PA],Prestataires associés,STERLING COOPER,"13, rue du docteur Lancereaux","","","",75008,PARIS
YAWKHGRE,[FR],FRANCE,[MED],Médicaments humains,SANOFI PASTEUR,2 Avenue du Pont Pasteur,"","","",69007,LYON
WASPVJAR,[FR],FRANCE,[MED],Médicaments humains,FOVEA PHARMACEUTICALS,17 Rue Moreau Institut De La Vision,"","","",75012,PARIS
RJKWFGRG,[FR],FRANCE,[AUT],Autres,PRESSE & PAPIERS,92 avenue André Morizet,"","","",92100,BOULOGNE-BILLANCOURT
RTSBTTYQ,[FR],FRANCE,[DM],Dispositifs médicaux,ATLANTIS DIFFUSION,ZA LES GRANDS PRES,"","","",26110,SAINT MAURICE SUR EYGUES
UDUQLMWQ,[FR],FRANCE,[PA],Prestataires associés,Kappa Santé,4 rue de Cléry,"","","",75002,PARIS
FCWJBSBP,[FR],FRANCE,[DM],Dispositifs médicaux,Laboratoires URSAPHARM SAS,"7, rue denis Papin","","","",57200,SARREGUEMINES
JRNSQWQO,[FR],FRANCE,[DM],Dispositifs médicaux,OXYVIE S.A.S,68 rue de la croix de l'Orme,"","","",78630,MORAINVILLIERS
CUSCAHBN,[FR],FRANCE,[DM],Dispositifs médicaux,LABORATOIRES CONVATEC,90 BOULEVARD NATIONAL ,IMMEUBLE LE SIGMA,"","",92250,LA GARENNE-COLOMBES
ZKEJWAGJ,[FR],FRANCE,[MED],Médicaments humains,BOEHRINGER INGELHEIM FRANCE,14 rue Jean Antoine de Baïf,"","","",75644 ,PARIS
FLIHMIHI,[FR],FRANCE,[DM],Dispositifs médicaux,SARL Centre Val de Loire Audition,4 rue du Tabour,"","","",45000,ORLEANS
EONNJONB,[FR],FRANCE,[MED],Médicaments humains,GlaxoSmithKline Biologicals,637 rue des Aulnois,"","","",59230,Saint-Amand-les-Eaux
XXAHHKJS,[LU],LUXEMBOURG,[AUT],Autres,P\S\L Group Services,"7A, rue Robert Stumper","","","",L2557,Luxembourg
XVJLMKBG,[FR],FRANCE,[DM],Dispositifs médicaux,American Medical Systems France,19 AVENUE DE NORVEGE,IMMEUBLE LES FJORDS -Bat Nobel,"","",91953,COURTABOEUF
DIZZQTBX,[FR],FRANCE,[DM],Dispositifs médicaux,Medtech,1 chemin de Borie,Parc de Bellegarde Bat A,"","",34170,Castelnau le Lez
EEGDAPJZ,[GB],ROYAUME-UNI,[MED],Médicaments humains,ZS Associates,338 Euston Road,"","","",NW1 3BG,London
NJNKOROV,[GB],ROYAUME-UNI,[AUT],Autres,MILLWARD BROWN,OLYMPUS AVENUE,TACHBROOK PARK,"","",CV34 6RJ,WARWICK
TCXGJWRG,[FR],FRANCE,[MED],Médicaments humains,TxCell,Allée de la Nertière,Les Cardoulines,"","",06560,Valbonne - Sophia-Antipolis
ZVDLQSFI,[FR],FRANCE,[AUT],Autres,PGRD,23-25 AVENUE DU DOCTEUR LANNELONGUE,"","","",75014,PARIS
SQWQQQHX,[FR],FRANCE,[DM],Dispositifs médicaux,AQUILAB,Parc Eurasanté,Biocentre A. Flemming,Bâtiment A,250 Rue Salvador Allende,59120,Loos
OATAEKKD,[FR],FRANCE,[AUT],Autres,ICARE,11 rue Gay-Lussac,"","","",59650,Villeneuve d'ascq
WJVWTYDM,[FR],FRANCE,[DM],Dispositifs médicaux,MARINA,42 rue de LANDIRAS,"","","",33000,BORDEAUX
MENFHYAL,[FR],FRANCE,[DM],Dispositifs médicaux,STRAUB MEDICAL (France),58 rue Delalain,"","","",94700,Maisons Alfort
KLCODQSU,[FR],FRANCE,[MED],Médicaments humains,AIR LIQUIDE SANTE FRANCE,"6, rue Cognacq-Jay","","","",75007,PARIS
QKWUYEOW,[FR],FRANCE,[AUT],Autres,COMMUNICATION GLOBALE SANTE,12 avenue Victor Hugo,"","","",75116,PARIS
PUEIFWBA,[FR],FRANCE,[AUT],Autres,HUERRE ALAIN FRANCOIS,APPARTEMENT 10.04,10ème ETAGE,24 RUD DU BOURBONNAIS,"",35000,RENNES
EJLQDQPK,[FR],FRANCE,[PA],Prestataires associés,MARIE AMELIE LENOIR CONSULTING - VICTA CONSEIL,5 RUE DE L'ARRIVEE,"","","",92250,LA GARENNE COLOMBES
BSWRSZLW,[FR],FRANCE,[DMDIV],Dispositifs médicaux de diagnostic in vitro,MICRO-MEGA,5-12 rue du Tunnel,"","","",25000,Besançon
KXOUOGET,[FR],FRANCE,[DM],Dispositifs médicaux,CLARIPHARM,9  Rue des Croix Roses,"","","",22400,Saint-Alban
QTYIYXBZ,[FR],FRANCE,[PA],Prestataires associés,Inventivhealthclinical,41 rue de strois fontanots,"","","",92000,Nanterre
AXVITGIV,[GB],ROYAUME-UNI,[MED],Médicaments humains,TIME RESEARCH LIMITED,TIME HOUSE,56B CREWYS ROAD,"","",NW2 2AD,LONDON
WIEGXKPO,[MC],MONACO,[MED],Médicaments humains,LABORATOIRE DISSOLVUROL,1 AVENUE DES CASTELANS,"STADE LOUIS II, ENTREE H","","",98000,MONACO
ONAVHBNS,[FR],FRANCE,[AUT],Autres,CONGRES COLLOQUES CONVENTIONS,24 RUE ST VICTOR,"","","",75005,PARIS
HCJRVLKR,[US],ÉTATS-UNIS,[DM],Dispositifs médicaux,MicroVention Inc.,1311 Valencia Avenue,"","","",CA 92780,Tustin
OPXVBFBD,[FR],FRANCE,[AUT],Autres,Theorem Clinical Research SARL,"37-39, avenue Ledru-Rollin",CS 11237,"","",75570,Paris cedex 12
IZPZGWOZ,[US],ÉTATS-UNIS,[DM],Dispositifs médicaux,"KINETIC CONCEPTS, INC.","12930 INTERSTATE HIGHWAY,10","","","",78265,SAN ANTONIO
YEHXBAAU,[FR],FRANCE,[DM],Dispositifs médicaux,AUDITION PARIS EST,37 RUE DES PYRENEES,"",196 RUE DES PYRENEES,196 RUE DES PYRENEES,75020,PARIS
VITOKJYV,[FR],FRANCE,[DM],Dispositifs médicaux,AUDITION GAMBETTA,196 RUE DES PYRENEES,"","","",75020,PARIS
RJEXHVST,[FR],FRANCE,[DM],Dispositifs médicaux,centre d'optique et d'audition,340-342 rue des pyrenees,"",340-342 rue des pyrenees,340-342 rue des pyrenees,75020,PARIS
QLDSLGRN,[FR],FRANCE,[PA],Prestataires associés,Ideal Gourmet,132 avenue de villiers,"","","",75017,paris
PGBCXQLJ,[FR],FRANCE,[PA],Prestataires associés,cemka,43 boulevard du Marechal Joffre,"","","",92340,bourg la reine
SNNGYZTL,[FR],FRANCE,[AUT],Autres,Median Conseil,Hélioparc,2 avenue Pierre Angot,"","",64053,Pau cedex 9
IVVEMAKA,[FR],FRANCE,[AUT],Autres,Association Françoise et Eugène MINKOWSKI pour la santé mentale des migrants,12 rue Jacquemont,"","","",75017,Paris
YQUNZUQA,[FR],FRANCE,[AUT],Autres,Association pour le Développement de l’Enseignement et des Recherches auprès des universités des centres de recherches et des entreprises d’Aquitaine (ADERA),Centre Condorcet ,162 avenue A. Schweitzer – CS 60040,"","",33608,Pessac Cedex
UBADQMYN,[FR],FRANCE,[PC],Produits cosmétiques,Laboratoires SVR France,ZAC de la Tremblaie,"","","",91220,LE PLESSIS PATE
OZNNNAJO,[FR],FRANCE,[DM],Dispositifs médicaux,cardipulse,1 impasse pireou,"","","",33260,la teste de buch
YOFCHTRY,[DE],ALLEMAGNE,[PA],Prestataires associés,"Advanced Medical Services, AMS GmbH",Am Exerzierplatz 2,"","","",68167,Mannheim
ZKBDCSTN,[FR],FRANCE,[DM],Dispositifs médicaux,SOFRADIM PRODUCTION,116 Avenue du Formans,"","","",01600,TREVOUX
KOFIHOUR,[FR],FRANCE,[DM],Dispositifs médicaux,ARJOHUNTLEIGH,2 AVENUE ALCIDE DE GASPERI,CS 70133,"","",59436,RONCQ CEDEX
STVFAQNR,[DE],ALLEMAGNE,[AUT],Autres,Cido Research GmbH,Hansestraße 69,"","","",48165,Münster
RUERFBCK,[FR],FRANCE,[DM],Dispositifs médicaux,MDB TEXINOV,56 route de la Ferrossiére,"","","",38110,SAINT DIDIER DE LA TOUR
TMQLHSYB,[FR],FRANCE,[PA],Prestataires associés,Direct Medica,"31, rue des Longs Prés","","","",92100,Boulogne-Billancourt
KVPQWCUL,[FR],FRANCE,[AUT],Autres,Groupe d'Etudes pour la Chirurgie Osseuse,24 rue de la Sinne,"","","",68100,Mulhouse
CFPVMLDO,[FR],FRANCE,[PC],Produits cosmétiques,MAVALA FRANCE SA,LA CROIX BLANCHE,"","","",60250,HONDAINVILLE
NXIIPCXE,[DE],ALLEMAGNE,[MED],Médicaments humains,BIOTEST AG,landsteinerstrasse 5,"","","",63303,Dreieich
YWEVPDQO,[FR],FRANCE,[DM],Dispositifs médicaux,laboratoire de correction auditive de dijon,10 rue Michelet,"",10 rue Michelet,10 rue Michelet,21000,DIJON
LAFPEPGG,[BE],BELGIQUE,[DM],Dispositifs médicaux,Terumo BCT Europe SA,41 Ikaroslaan,"","","",1930,Zaventem
CBBXQUBU,[FR],FRANCE,[DM],Dispositifs médicaux,DEFI ORTHO,"19, rue des bas moulins","","","",44800,ST HERBLAIN
QIQAVVYU,[FR],FRANCE,[MED],Médicaments humains,MESSER FRANCE,25 RUE AUGUSTE BLANCHE,"","","",92816,PUTEAUX
ODNUKMJV,[FR],FRANCE,[PA],Prestataires associés,LVL MEDICAL PARIS ET NORD,137 Avenue Louis Roche,"","","",92230,GENNEVILLIERS
LWINMIDN,[FR],FRANCE,[DM],Dispositifs médicaux,ORTHO JET,199 Rue des Badines,"","","",33127,Saint Jean d'Illac
QHTGOMPH,[FR],FRANCE,[MED],Médicaments humains,ALMUS,211 rue des Grésillons,"","","",92230,gennevilliers
FSEDLQXF,[FR],FRANCE,[AUT],Autres,CERP RHIN RHONE MEDITERRANEE,36 RUE ALBERT 1ER,"","","",90000,BELFORT
OIIVLMVI,[FR],FRANCE,[PC],Produits cosmétiques,OCEAN TERRE BIOTECHNOLOGIE,Avenue du Général de Gaulle,"","","",14200,Hérouville Saint-Clair
TEDBKDSX,[FR],FRANCE,[DM],Dispositifs médicaux,DENTAURUM FRANCE,Boulevard du Courcerin,Allée des Voyageurs,"","",77437,MARNE LA VALLEE CEDEX 2
ZYOSADCI,[FR],FRANCE,[DM],Dispositifs médicaux,PALLIEZ OPTIQUE,"58, rue Désiré Delansorne","","","",62000,ARRAS
UALZCQDK,[FR],FRANCE,[AUT],Autres,MED PLANET,8 rue pailleron,"","","",69004,LYON
JMESHYRJ,[FR],FRANCE,[AUT],Autres,TBF GENIE TISSULAIRE,6 rue d'Italie,"","","",69780,MIONS
QDXFGANV,[ES],ESPAGNE,[AUT],Autres,Junicon,Calle Collserola 54 ,2° 2a ,"","",08035,Barcelone
ZBFOSOGV,[FR],FRANCE,[PA],Prestataires associés,ACS-Agence Conseil Santé,31 Avenue de Versailles,"","","",75016,Paris
LCHWNWIQ,[FR],FRANCE,[AUT],Autres,GLOBAL MEDIA SANTE,314 Bureaux de la Colline,1 rue Royale,"","",92210,Saint Cloud
TJQKCKUX,[FR],FRANCE,[PA],Prestataires associés,ICOMED,137 rue d'Aguesseau,"","","",92100,boulogne billancourt
SKZQSEGM,[FR],FRANCE,[PA],Prestataires associés,CAPIDEL SANTE SARL,19 AVENUE DE L'EGUILLETTE,PA DU VERT GALANT,BP 97132,ST OUEN L'AUMONE,95054,CERGY PONTOISE CEDEX
RLHEFYRR,[GB],ROYAUME-UNI,[PA],Prestataires associés,Datamonitor Healthcare,Christchurch Court,10-15 Newgate Street,"","",EC1A 7HD,Londres
NMBHTTHU,[FR],FRANCE,[DM],Dispositifs médicaux,ORTHO CONCEPT,Pole Activité des Milles 1140 rue Ampère Zone Actimart 2 N°12,"","","",13290,Les Milles
OMEOUHUZ,[FR],FRANCE,[DM],Dispositifs médicaux,CARMAT,36 AVENUE DE L'EUROPE,IMMEUBLE L'ETENDARD,"","",78140,VELIZY VILLACOUBLAY
DGKOKTSL,[GB],ROYAUME-UNI,[DM],Dispositifs médicaux,LifeCell EMEA Limited,Langford Business Park,Langford Locks,"","",OX5 1GF,KILINGTON
DOZBZGGJ,[US],ÉTATS-UNIS,[PA],Prestataires associés,Bull's Eye Innovations,125 Moen Avenue,"","","",07016,Cranford
YFTPYESN,[US],ÉTATS-UNIS,[DM],Dispositifs médicaux,EDWARDS LIFESCIENCES CORPORATION,ONE EDWARSDS WAY,IRVINE,"","",92614,IRVINE CALIFORNIA
KOOQDXNI,[IT],ITALIE,[DM],Dispositifs médicaux,EDWARDS LIFESCIENCES ITALIE,VIA PATECCHIO 4,"","","",20141,MILANO
WRJAMOEE,[GB],ROYAUME-UNI,[DM],Dispositifs médicaux,EDWARDS LIFESCIENCES ROYAUME-UNI,"CAXTON WAY, THETFORD",NORFOLK IP24 3SE,"","",00000,GREAT BRITAIN
RLERWMUI,[FR],FRANCE,[DM],Dispositifs médicaux,MEDICAL INNOVATION DEVELOPPEMENT,9 CHEMIN DU JUBIN,"","","",69570,DARDILLY
QETQXHJV,[SE],SUÈDE,[DM],Dispositifs médicaux,EDWARDS LIFESCIENCES SUEDE,Sodra Langgatan 25,"","","",211 44,MALMO
FZGBRNPU,[CZ],"TCHÈQUE, RÉPUBLIQUE",[DM],Dispositifs médicaux,EDWARDS LIFESCIENCES REPUBLIQUE TCHEQUE,OPLETALOVA 55,"","","",11184,PRAHA 1
IYDKYLGP,[CA],CANADA,[DM],Dispositifs médicaux,EDWARDS LIFESCIENCES CANADA,1290 CENTRAL PARKWAY WEST,"","","",L5C 4R3,MISSISSAUGA
CFKSSRVB,[JP],JAPON,[DM],Dispositifs médicaux,EDWARDS LIFESCIENCES JAPON,6-10-1 Nishi-Shinjuku,Shinjuku-Ku,"","",1600023,TOKYO
LXLERNYI,[IE],IRLANDE,[DM],Dispositifs médicaux,EDWARDS LIFESCIENCES IRLANDE,Beaux Lane House,5th Floor,"","",DUBLIN 2,Dublin
AMYNRTKB,[DE],ALLEMAGNE,[DMDIV],Dispositifs médicaux de diagnostic in vitro,BRAHMS GmbH,25 Neuendorfstrasse,"","","",16761,Hennigsdorf
TNWYEMXW,[BE],BELGIQUE,[MED],Médicaments humains,EUMEDICA s.a.,Avenue Winston Churchill 67,"","","",1180,Bruxelles
PCGKPMBJ,[DK],DANEMARK,[MED],Médicaments humains,Genmab A/S,Bredgade 34,"","","",1260,Copenhague
OSDVKHDA,[FI],FINLANDE,[MED],Médicaments humains,Orion Corporation Orion Pharma,"Orionintie 1, P.O.Box 65","","","",02101,Espoo
COZBWJZO,[FR],FRANCE,[MED],Médicaments humains,DAIICHI SANKYO FRANCE SAS,1 rue Eugène et Armand Peugeot,"","","",92500,RUEIL MALMAISON
KOQQUWZZ,[DE],ALLEMAGNE,[DM],Dispositifs médicaux,Stryker Trauma GmbH,Prof.-Küntscher-Strasse 1-5,"","","",24232,Schönkirchen
DWIPLDRR,[JP],JAPON,[DM],Dispositifs médicaux,"ASAHI INTECC CO., LTD.","1703 Wakita-cho, Moriyama-ku","","","",4630024,NAGOYA
YXVIYYCL,[CH],SUISSE,[DMDIV],Dispositifs médicaux de diagnostic in vitro,Diamed GmbH,Pra rond 23,"","","",1785,CRESSIER
IQEEZQRH,[DE],ALLEMAGNE,[DM],Dispositifs médicaux,Brainlab,Kapellenstrasse 12,"","","",85622 ,Feldkirchen
RJIVVXVU,[CH],SUISSE,[DM],Dispositifs médicaux,EDWARDS LIFESCIENCES SUISSE,Rte De L'Etraz 70,"","","",1260,NYON
QHPMHUIZ,[DE],ALLEMAGNE,[DM],Dispositifs médicaux,EDWARDS LIFESCIENCES ALLEMAGNE,EDISONSTRABE 3-4,"","","",D85716,UNTERSCHELEIBHEIM
CKVFOKWF,[AT],AUTRICHE,[DM],Dispositifs médicaux,EDWARDS LIFESCIENCES AUTRICHE,LANDSTRABER HAUPTSTRABE 99,"","","",A1031,WIEN
HKDMUELN,[BE],BELGIQUE,[DM],Dispositifs médicaux,EDWARDS LIFESCIENCES BELGIQUE,SPRL BVBA,"BOULEVARD DE LA PLAINE, 5","","",1050,BRUXELLES
HLGZWYYO,[US],ÉTATS-UNIS,[DM],Dispositifs médicaux,"AtriCure, Inc.",6217 Centre Park Drive,"","","",45069,West Chester
YKQPXALE,[US],ÉTATS-UNIS,[DMDIV],Dispositifs médicaux de diagnostic in vitro,BIO-RAD Laboratories Inc.,4000 Alfred Nobel Drive,"","","",CA 94547,HERCULES
GGSIXPVM,[NL],PAYS-BAS,[DM],Dispositifs médicaux,Cerus Europe B.V.,Stationsstraat 79-D,"",P.O. Box 1769,"",3811 MH ,Amersfoort
CKPTOMAD,[FR],FRANCE,[DM],Dispositifs médicaux,SPINAXIS,"76 rue d'Auteuil, ",code 512B8,"","",75016,PARIS
WTDRYKXO,[GP],GUADELOUPE,[PA],Prestataires associés,MEDIOUTREMER,32 rue de la chapelle,Immeuble SADIPRO,ZI JARRY,"",97122,BAIE - MAHAULT
UWAMHCDL,[US],ÉTATS-UNIS,[DM],Dispositifs médicaux,BIOVENTUS,4101 Emperor Blvd.,Suite 100,"","",27709,Durham
XFWCLOTJ,[IE],IRLANDE,[DM],Dispositifs médicaux,SDI Dental Limited,"Block 8, St Johns Court","Swords Road , Santry","","",Dublin 9,Dublin 9
ULQXXTUN,[GB],ROYAUME-UNI,[AUT],Autres,KeyQuest Health Ltd,34 Paradise Road,"","","",TW10 7EQ,Richmond Upon Thames
EACRABCM,[GY],GUYANA,[AUT],Autres,Société Guyanaise de l'Air Liquide,Z.I. DE PARIACABO - B.P. 804,"","","",97388,KOUROU
HUOJSICC,[MQ],MARTINIQUE,[AUT],Autres,Société Martiniquaise de l'Air Liquide,QUARTIER CALIFORNIE - BP 278,"","","",97285,LE LAMENTIN CEDEX 2
YDNBKVGM,[GP],GUADELOUPE,[AUT],Autres,Société des gaz industriels de la Guadeloupe,Z.I. Bergevin - P.B. 411,"","","",97163,Pointe à Pitre Cedex
AXVRCWVH,[GP],GUADELOUPE,[DM],Dispositifs médicaux,SEPRODOM ANTILLES,"256, Impasse des Palétuviers",Voie Verte - ZI - Jarry,"","",97122,BAIE MAHAULT
